,exclusivity_code,exclusivity_code_desc,edition
2327,D-19,BOLUS DOSING GUIDELINES,2001
2328,D-20,SINGLE 32MG DOSE,2001
2329,D-21,ALTERNATIVE DOSAGE OF 300MG ONCE DAILY AFTER THE EVENING MEAL,2001
2330,D-22,REDUCTION IN INFUSION TIME FROM 24 TO 4 HOURS FOR THE 60MG DOSE,2001
2331,D-23,INCREASE MAXIMUM DOSE AND VARIATIONS IN THE DOSING REGIMEN,2001
2332,D-24,FOR OVARIAN CANCER THE RECOMMENDED REGIMEN IS 135MG/M^2 OR 175MG/M^2 OVER THREE HOURS EVERY THREE WEEKS,2001
2333,D-25,ADDITIONAL DOSAGE REGIMEN EQUAL TO HALF OF THE ORIGINAL DOSING REGIMEN,2001
2334,D-26,ONCE WEEKLY APPLICATION,2001
2335,D-27,BID DOSING IN PATIENTS 12 YEARS OF AGE AND OLDER FOR PREVENTION OF NAUSEA AND VOMITING ASSOCIATED WITH MODERATELY EMETOGENIC CANCER CHEMOTHERAPY,2001
2336,D-28,USE OF ISOVUE-370 IN EXCRETORY UROGRAPHY AT EQUIVALENT GRAMS OF IODINE TO THE CURRENTLY APPROVED ISOVUE-250 AND ISOVUE-300,2001
2337,D-29,INCREASE OF CUMULATIVE DOSE TO 0.3MMOL/KG FOR MRI OF THE CNS IN ADULTS,2001
2338,D-30,5000 IU DOSE FOR PHOPHYLAXIS AGAINST DEEP VEIN THROMBOSIS,2001
2339,D-31,CHANGE IN RECOMMENDED TOTAL DAILY DOSE TO 80MG (40MG BID),2001
2340,D-32,REMOVAL OF THE RESTRICTIONS LIMITING TREATMENT TO TWO CONSECUTIVE WEEKS AND TO SMALL AREAS,2001
2341,D-33,ONCE DAILY DOSING FOR PLAQUE PSORIASIS,2001
2342,D-34,EVERY FOUR MONTHS DOSAGE REGIMEN,2001
2343,D-35,FOR A ONE WEEK DOSING PERIOD FOR INTERDIGITAL TINEA PEDIS,2001
2344,D-36,FOR A SINGLE 2MG DOSE AS AN ALTERNATIVE TO THE IMG DOSE GIVE TWICE DAILY,2001
2345,D-37,DOSING REGIMEN FOR ADMINISTRATION EITHER ONCE DAILY (QD) OR TWICE DAILY (BID),2001
2346,D-38,CONTINUOUS INFUSION AS AN ALTERNATE METHOD OF ADMINISTRATION,2001
2347,D-39,CHANGE IN TIME TO TAKE THE DRUG PRIOR TO A MEAL TO PREVENT MEAL-INDUCED HEARTBURN SYMPTOMS FROM ”... 1/2-1 HOUR BEFORE EATING..TO “...RIGHT BEFORE EATING OR UP TO 60 MIN BEFORE CONSUMING...”,2001
2348,D-40,ONCE-A-DAY DOSING REGIMEN,2001
2349,D-41,DRUG MAY BE DOSED RIGHT BEFORE A MEAL OR ANY TIME UP TO 30 MIN BEFORE EATING OR DRINKING FOOD AND BEVERAGES THAT WOULD BE EXPECTED TO CAUSE SYMPTOMS,2001
2350,D-42,"TEN DAY DOSING REGIMEN FOR TRIPLE THERAPY, PREVACID IN COMBINATION WITH CLARITHROMYCIN AND AMOXICCLIN, FOR THE ERADICATION OF H. PYLORI IN PATIENTS WITH DUODENAL ULCER DISEASE",2001
2351,D-43,INITIATION OF TREATMENT WITH 900MG/DAY BY DELETION OF THE REQUIREMENT TO TITRATE TO 900MG/DAY OVER A 3-DAY PERIOD,2001
2352,D-44,"IN A CLINICAL TRIAL, FEWER DISCONTINUATIONS DUE TO ADVERSE EVENTS, ESPECIALLY DIZZINESS AND VERTIGO, WERE OBSERVED WHEN TITRATING THE DOSE IN INCREMENTS OF 50MG/DAY EVERY THREE DAYS UNTIL AN EFFECTIVE DOSE (NOT EXCEEDING 400MG/DAY) WAS REACHED",2001
2353,D-45,ONCE DAILY DOSING FOR MAINTENANCE ONLY,2001
2354,D-46,NEW DOSING REGIMEN OF 80MG DAILY,2001
2355,D-47,TAKE DRUG “15 MINUTES TO 1 HOUR” PRIOR TO A MEAL TO PREVENT MEAL-INDUCED HEARTBURN,2001
2356,D-48,"ADMINISTRATION OF CISATRICURIUM, A NEUROMUSCULAR BLOCKING AGENT AT DOSES OF 3 AND 4X THE ED95 OF CISATRICUNIUM FOLLOWING INDUCTION WITH THIOPENTAL",2001
2357,D-49,PEDIATRIC DOSING GUIDELINES,2001
2358,D-50,INFORMATION FOR USE OF CORVERT IN POST-CARDIAC SURGERY PATIENTS,2001
2359,D-51,OPTIONAL STARTING DOSE OF 40MG/DAY,2001
2360,D-52,ALTERNATE DOSING REGIMEN OF 1250MG TWICE DAILY,2001
2361,D-53,USE IN PEDIATRIC PATIENTS FROM 1 MONTH TO 16 YEARS OF AGE,2001
2362,D-54,USE OF ZYBAN FOR MAINTENANCE THERAPY. TREATMENT UP TO 6 MONTHS WAS SHOWN EFFICACIOUS,2001
2363,D-55,ADDITION OF A HIGHER DOSE OF NUTROPIN FOR PUBERTAL PATIENTS (PUBERTAL DOSE LESS THAN OR EQUAL TO 0.7MG/KG/WEEK),2001
2364,D-56,ADDITION OF POSTPRANDIAL DOSING,2001
2365,D-57,3-HOUR INFUSION OF TAXOL GIVEN EVERY THREE WEEKS AT A DOSE OF 175MG/M2 FOLLOWED BY CISPLATIN AT A DOSE OF 75MG/M2 FOR THE FIRST-LINE TREATMENT OF ADVANCED OVARIAN CANCER,2001
2366,D-58,CHANGE IN DOSING INTERVAL TO ONCE-DAILY ADMINISTRATION,2001
2367,D-59,"REDUCTION OF ELEVATED LDL-C IN A NEW, HIGHER STRENGTH TABLET, 0.8MG, AND FOR EXTENSION OF THE DOSAGE RANGE TO 0.8MG DAILY",2001
2368,D-60,ADDITION OF A POST-OPERATIVE DOSING REGIMEN,2001
2369,D-61,ONCE WEEKLY DOSING FOR THE TREATMENT OF POSTMENOPAUSAL OSTEOPOROSIS,2001
2370,D-62,ONCE WEEKLY DOSING FOR THE PREVENTION OF POSTMENOPAUSAL OSTEOPOROSIS,2001
2371,D-63,TO ALLOW A TITRATION DOSING REGIMEN USING A 25MG DOSE,2001
2372,D-64,INCREASING DOSAGE FOR NERVE BLOCK ANESTHESIA USING NAROPIN 7.5MG/ML AND FOR EXTENDING THE DURATION OF TREATMENT FOR POSTOPERATIVE ANALGESIA USING NAROPIN 2MG/ML,2001
2373,I-1,DYSMENORRHEA,2001
2374,I-2,CHOLANGIOPANCREATOGRAPHY,2001
2375,I-3,INTRAVENOUS DIGITAL SUBTRACTION ANGIOGRAPHY,2001
2376,I-4,PERIPHERAL VENOGRAPHY (PHLEBOGRAPHY),2001
2377,I-5,HYSTEROSALPINGOGRAPHY,2001
2378,I-6,TREATMENT OF JUVENILE ARTHRITIS,2001
2379,I-7,BIOPSY PROVEN MINIMAL CHANGE NEPHROTIC SYNDROME IN CHILDREN,2001
2380,I-8,ADULT INTRAVENOUS CONTRAST-ENHANCED COMPUTED TOMOGRAPHY OF THE HEAD AND BODY,2001
2381,I-9,PREVENTION OF POSTOPERATIVE NAUSEA AND VOMITING,2001
2382,I-10,PREVENTION OF POSTOPERATIVE DEEP VENOUS THROMBOSIS AND PULMONARY EMBOLISM IN TOTAL HIP REPLACEMENT SURGERY,2001
2383,I-11,RELIEF OF MILD TO MODERATE PAIN,2001
2384,I-12,TREATMENT OF CUTANEOUS CANDIDIASIS,2001
2385,I-13,URINARY TRACT INFECTION (UTI) PREVENTION FOR PERIODS UP TO FIVE MONTHS IN WOMEN WITH A HISTORY OF RECURRENT UTI,2001
2386,I-14,SEBORRHEIC DERMATITIS,2001
2387,I-15,PHOTOPHERESIS IN THE PALLIATIVE TREATMENT OF SKIN MANIFESTATIONS OF CUTANEOUS T-CELL LYMPHOMA IN PERSONS NOT RESPONSIVE TO OTHER TREATMENT,2001
2388,I-16,STIMULATE THE DEVELOPMENT OF MULTIPLE FOLLICLES/OOCYTES IN OVULATORY PATIENTS PARTICIPATING IN AN IN VITRO FERTILIZATION PROGRAM,2001
2389,I-17,MANAGEMENT OF CONGESTIVE HEART FAILURE,2001
2390,I-18,ENDOSCOPIC RETROGRADE PANCREATOGRAPHY,2001
2391,I-19,HERNIOGRAPHY,2001
2392,I-20,KNEE ARTHROGRAPHY,2001
2393,I-21,HIGH DOSE METHOTREXATE WITH LEUCOVORIN RESCUE IN COMBINATION WITH OTHER CHEMOTHERAPEUTIC AGENTS TO DELAY RECURRENCE IN PATIENTS WITH NONMETASTATIC OSTEOSARCOMA WHO HAVE UNDERGONE SURGICAL RESECTION OR AMPUTATION FOR THE PRIMARY TUMOR,2001
2394,I-22,RESCUE AFTER HIGH-DOSE METHOTREXATE THERAPY IN OSTEOSARCOMA,2001
2395,I-23,SHORT-TERM TREATMENT OF ACTIVE BENIGN GASTRIC ULCER,2001
2396,I-24,TREATMENT OF RHEUMATOID ARTHRITIS,2001
2397,I-25,"ADULT INTRA-ARTERIAL DIGITAL SUBTRACTION ANGIOGRAPHY OF THE HEAD, NECK, ABDOMINAL, RENAL AND PERIPHERAL VESSELS",2001
2398,I-26,TREATMENT OF LIVER FLUKES,2001
2399,I-27,ADJUNCTIVE THERAPY TO DIET TO REDUCE THE RISK OF CORONARY ARTERY DISEASE,2001
2400,I-28,SELECTIVE ADULT VISCERAL ARTERIOGRAPHY,2001
2401,I-29,METASTATIC BREAST CANCER IN PREMENOPAUSAL WOMEN AS AN ALTERNATIVE TO OOPHORECTOMY OR OVARIAN IRRADIATION,2001
2402,I-30,TREATMENT OF TINEA PEDIS,2001
2403,I-31,CONTRAST ENHANCEMENT AGENT TO FACILITATE VISUALIZATION OF LESIONS IN THE SPINE AND ASSOCIATED TISSUES,2001
2404,I-32,PEDIATRIC MYELOGRAPHY,2001
2405,I-33,ORAL USE OF DILUTED OMNIPAQUE INJECTION IN ADULTS FOR CONTRAST ENHANCED COMPUTED TOMOGRAPHY OF THE ABDOMEN,2001
2406,I-34,ORAL USE IN ADULTS FOR PASS-THROUGH EXAMINATION OF THE GASTROINTESTINAL TRACT,2001
2407,I-35,PEDIATRIC CONTRAST ENHANCEMENT OF COMPUTED TOMOGRAPHIC HEAD IMAGING,2001
2408,I-36,ARTHROGRAPHY OF THE SHOULDER JOINTS IN ADULTS,2001
2409,I-37,RADIOGRAPHY OF THE TEMPOROMANDIBULAR JOINT IN ADULTS,2001
2410,I-38,CONTRAST ENHANCEMENT AGENT TO FACILITATE VISUALIZATION OF LESIONS OF THE CENTRAL NERVOUS SYSTEM IN CHILDREN (2 YEARS OF AGE AND OLDER),2001
2411,I-39,TREATMENT OF ACUTE MYOCARDIAL INFARCTION,2001
2412,I-40,PRIMARY NOCTURNAL ENURESIS,2001
2413,I-41,MIGRAINE HEADACHE PROPHYLAXIS,2001
2414,I-42,HERPES ZOSTER,2001
2415,I-43,HERPES SIMPLEX ENCEPHALITIS,2001
2416,I-44,MAINTENANCE THERAPY IN HEALED DUODENAL ULCER PATIENTS AT DOSE OF 1 GRAM TWICE DAILY,2001
2417,I-45,ACUTE TREATMENT OF VARICELLA ZOSTER VIRUS,2001
2418,I-46,USE IN PEDIATRIC COMPUTED TOMOGRAPHIC HEAD AND BODY IMAGING,2001
2419,I-47,TREATMENT OF PEDIATRIC PATIENTS WITH SYMPTOMATIC HUMAN IMMUNODEFICIENCY VIRUS (HIV) DISEASE,2001
2420,I-48,PEDIATRIC ANGIOCARDIOGRAPHY,2001
2421,I-49,TREATMENT OF TRAVELERS' DIARRHEA DUE TO SUSCEPTIBLE STRAINS OF ENTEROTOXIGENIC ESCHERICHIA COLI,2001
2422,I-50,FOR USE IN WOMEN WITH AXILLARY NODE-NEGATIVE BREAST CANCER,2001
2423,I-51,TREATMENT OF PRIMARY DYSMENORRHEA AND FOR THE TREATMENT OF IDIOPATHIC HEAVY MENSTRUAL BLOOD LOSS,2001
2424,I-52,PEDIATRIC EXCRETORY UROGRAPHY,2001
2425,I-53,"TREATMENT OF PANIC DISORDER, WITH OR WITHOUT AGORAPHOBIA",2001
2426,I-54,RENAL CONCENTRATION CAPACITY TEST,2001
2427,I-55,HYPERTENSION,2001
2428,I-56,EROSIVE GASTROESOPHAGEAL REFLUX DISEASE,2001
2429,I-57,SHORT-TERM TREATMENT OF ACTIVE DUODENAL ULCER,2001
2430,I-58,INITIAL TREATMENT OF ADVANCED OVARIAN CARCINOMA IN COMBINATION WITH OTHER APPROVED CHEMOTHERAPEUTIC AGENTS,2001
2431,I-59,"ENDOSCOPICALLY DIAGNOSED ESOPHAGITIS, INCLUDING EROSIVE AND ULCERATIVE ESOPHAGITIS, AND ASSOCIATED HEARTBURN DUE TO GASTROESOPHAGEAL REFLUX DISEASE",2001
2432,I-60,SINGLE APPLICATION TREATMENT OF HEAD LICE IN CHILDREN TWO MONTHS TO TWO YEARS IN AGE,2001
2433,I-61,FEMALE ANDROGENETIC ALOPECIA,2001
2434,I-62,PREVENTION AND TREATMENT OF POSTMENOPAUSAL OSTEOPOROSIS,2001
2435,I-63,ONCE DAILY TREATMENT AS INITIAL THERAPY IN THE TREATMENT OF HYPERTENSION,2001
2436,I-64,PREVENTION OF SUPRAVENTRICULAR TACHYCARDIAS,2001
2437,I-65,PREVENTION OF UPPER GASTROINTESTINAL BLEEDING IN CRITICALLY ILL PATIENTS,2001
2438,I-66,UNCOMPLICATED GONORRHEA,2001
2439,I-67,TREATMENT OF ACUTE ASTHMATIC ATTACKS IN CHILDREN SIX YEARS OF AGE AND OLDER,2001
2440,I-68,CENTRAL PRECOCIOUS PUBERTY,2001
2441,I-69,"SHORT TERM TREATMENT OF PATIENTS WITH SYMPTOMS OF GASTROESOPHAGEAL REFLUX DISEASE (GERD), AND FOR THE SHORT TERM TREATMENT OF ESOPHAGITIS DUE TO GERD INCLUDING ULCERATIVE DISEASE DIAGNOSED BY ENDOSCOPY",2001
2442,I-70,USE IN COMBINATION WITH 5-FLUOROURACIL TO PROLONG SURVIVAL IN THE PALLIATIVE TREATMENT OF PATIENTS WITH ADVANCED COLORECTAL CANCER,2001
2443,I-71,VARICELLA INFECTIONS (CHICKENPOX),2001
2444,I-72,PREVENTION OF CMV DISEASE IN TRANSPLANT PATIENTS AT RISK FOR CMV DISEASE,2001
2445,I-73,INITIATE AND MAINTAIN MONITORED ANESTHESIA CARE (MAC) SEDATION DURING DIAGNOSTIC PROCEDURES,2001
2446,I-74,INTRAVENOUS DIGITAL SUBTRACTION ANGIOGRAPHY,2001
2447,I-75,TREATMENT OF ENDOSCOPICALLY DIAGNOSED EROSIVE ESOPHAGITIS,2001
2448,I-76,PREVENTION OF OSTEOPOROSIS,2001
2449,I-77,"DERMAL INFECTIONS-TINEA PEDIS, TINEA CORPORIS, TINEA CRURIS DUE TO EPIDERMOPHYTON FLOCCOSUM",2001
2450,I-78,CONTRAST ENHANCED COMPUTED TOMOGRAPHIC IMAGING OF THE HEAD AND BODY AND INTRAVENOUS EXCRETORY UROGRAPHY,2001
2451,I-79,MANAGEMENT OF CHRONIC STABLE ANGINA AND ANGINA DUE TO CORONARY ARTERY SPASM,2001
2452,I-80,DIAGNOSIS AND LOCALIZATION OF ISCHEMIA AND CORONARY HEART DISEASE,2001
2453,I-81,PROPHYLAXIS IN DESIGNATED IMMUNOCOMPROMISED CONDITIONS TO REDUCE THE INCIDENCE OF OROPHARYNGEAL CANDIDIASIS,2001
2454,I-82,TREATMENT OF TRAVELERS' DIARRHEA,2001
2455,I-83,"ANGIOCARDIOGRAPHY, CONTRAST ENHANCED COMPUTED TOMOGRAPHIC IMAGING OF THE HEAD AND BODY, AND INTRAVENOUS EXCRETORY UROGRAPHY IN CHILDREN",2001
2456,I-84,INTRAOPERATIVE AND POSTOPERATIVE TACHYCARDIA AND/OR HYPERTENSION,2001
2457,I-85,TREATMENT OF ANOREXIA ASSOCIATED WITH WEIGHT LOSS IN PATIENTS WITH AIDS,2001
2458,I-86,TREATMENT OF SECONDARY CARNITINE DEFICIENCY,2001
2459,I-87,RENAL IMAGING AGENT FOR USE IN CHILDREN,2001
2460,I-88,MANAGEMENT OF ENDOMETRIOSIS,2001
2461,I-89,EPIDURAL USE IN LABOR AND DELIVERY AS AN ANALGESIC ADJUNCT TO BUPIVACAINE,2001
2462,I-90,INTENSIVE CARE UNIT SEDATION,2001
2463,I-91,MONOTHERAPY USE FOR HYPERTENSION,2001
2464,I-92,ADJUNCTIVE THERAPY IN THE MANAGEMENT OF HEART FAILURE,2001
2465,I-93,PREVENTION OF EXERCISE-INDUCED BRONCHOSPASM IN CHILDREN AGES 4-11 YEARS,2001
2466,I-94,USE WITH MRI IN ADULTS TO PROVIDE CONTRAST ENHANCEMENT AND FACILITATE VISUALIZATION OF LESIONS IN THE BODY [EXCLUDING THE HEART],2001
2467,I-95,TREATMENT OF LEFT VENTRICULAR DYSFUNCTION FOLLOWING MYOCARDIAL INFARCTION,2001
2468,I-96,TREATMENT OF SYMPTOMATIC BENIGN PROSTATIC HYPERPLASIA,2001
2469,I-97,ORAL OR RECTAL USE IN CHILDREN FOR THE EXAMINATION OF THE GASTROINTESTINAL TRACT,2001
2470,I-98,TREATMENT OF CHILDREN WHO HAVE GROWTH FAILURE ASSOCIATED WITH CHRONIC RENAL INSUFFICIENCY,2001
2471,I-99,PEDIATRIC ANESTHESIA IN CHILDREN 3 YEARS AND OLDER,2001
2472,I-100,TO DECREASE THE INCIDENCE OF CANDIDIASIS IN PATIENTS UNDERGOING BONE MARROW TRANSPLANTATION WHO RECEIVE CYTOTOXIC CHEMOTHERAPY AND/OR RADIATION THERAPY,2001
2473,I-101,TREATMENT OF DIABETIC NEPHROPATHY IN PATIENTS WITH TYPE I INSULIN-DEPENDENT DIABETES MELLITUS AND RETINOPATHY,2001
2474,I-102,TREATMENT OF OBSESSIVE-COMPULSIVE,2001
2475,I-103,PROPHYLAXIS AGAINST PNEUMOCYSTIS CARINII PNEUMONIA IN INDIVIDUALS WHO ARE IMMUNOCOMPROMISED AND CONSIDERED TO BE AT RISK OF DEVELOPING PNEUMOCYSTIS CARINII PNEUMONIA,2001
2476,I-104,TREATMENT OF PULMONARY AND EXTRAPULMONARY ASPERGILLOSIS IN PATIENTS WHO ARE INTOLERANT OF OR WHO ARE REFRACTORY TO AMPHOTERICIN B THERAPY,2001
2477,I-105,TREATMENT OF METASTATIC CARCINOMA OF THE BREAST AFTER FAILURE OF FIRST-LINE OR SUBSEQUENT CHEMOTHERAPY,2001
2478,I-106,TREATMENT OF ACROMEGALY,2001
2479,I-107,VAGINAL CANDIDIASIS,2001
2480,I-108,EXPANDED USE-FOR ICU PATIENTS UNDERGOING LONG-TERM INFUSION DURING MECHANICAL VENTILATION,2001
2481,I-109,TYPHOID FEVER,2001
2482,I-110,PREVENTION OF NAUSEA AND VOMITING ASSOCIATED WITH RADIOTHERAPY,2001
2483,I-111,TREATMENT OF PAGET'S DISEASE OF BONE,2001
2484,I-112,MANAGEMENT OF MODERATE TO SEVERE PAIN,2001
2485,I-113,TREATMENT OF PROSTATITIS,2001
2486,I-114,"USE IN CHILDREN TO VISUALIZE LESIONS WITH ABNORMAL VASCULARITY IN THE BRAIN (INTRACRANIAL LESIONS), SPINE AND ASSOCIATED TISSUE",2001
2487,I-115,USE IN MRI IN ADULTS TO VISUALIZE LESIONS IN THE HEAD AND NECK,2001
2488,I-116,MAINTENANCE OF HEALING OF EROSIVE ESOPHAGITIS,2001
2489,I-117,TO SLOW THE PROGRESSION OF CORONARY ATHEROSCLEROSIS IN PATIENTS WITH CORONARY HEART DISEASE,2001
2490,I-118,"PREVENTION OF DEEP VEIN THROMBOSIS, WHICH MAY LEAD TO PULMONARY EMBOLISM, FOLLOWING KNEE REPLACEMENT SURGERY",2001
2491,I-119,TREATMENT OF ANEMIA CAUSED BY UTERINE LEIOMYOMATA IN WOMEN WHO FAIL IRON THERAPY,2001
2492,I-120,MAINTENANCE THERAPY FOR GASTRIC ULCER PATIENTS AT REDUCED DOSAGE AFTER HEALING ACUTE ULCERS,2001
2493,I-121,EXPANDED PATIENT POPULATION - USE IN ICU PATIENTS,2001
2494,I-122,PSORIASIS OF THE SCALP,2001
2495,I-123,RELIEF OF MILD TO MODERATE PAIN IN PATIENTS AGED 6 MONTHS AND OLDER,2001
2496,I-124,LEUCOCYTE LABELED SCINTIGRAPHY AS AN ADJUNCT IN THE LOCALIZATION OF INTRA-ABDOMINAL INFECTION AND INFLAMMATORY BOWEL DISEASE,2001
2497,I-125,EXPANSION OF CONSCIOUS SEDATION INDICATION TO INCLUDE SHORT THERAPEUTIC PROCEDURES,2001
2498,I-126,ADJUNCT TO THALLIUM-201 MYOCARDIAL PERFUSION IN PATIENTS UNABLE TO EXERCISE ADEQUATELY,2001
2499,I-127,TREATMENT OF ACYCLOVIR-RESISTANT HERPES IN IMMUNOCOMPROMISED PATIENTS,2001
2500,I-128,IN PATIENTS WITH CORONARY HEART DISEASE AND HYPERCHOLESTEROLEMIA: TO REDUCE THE RISK OF TOTAL MORTALITY BY REDUCING CORONARY DEATH; REDUCE THE RISK OF NON-FATAL MYOCARDIAL INFARCTION; REDUCE THE RISK FOR UNDERGOING MYOCARDIAL REVASCULARIZATION PROCEDURES; REDUCTION OF ELEVATED TOTAL AND LDL CHOLESTEROL LEVELS IN PATIENTS WITH PRIMARY HYPERCHOLESTEROLEMIA (TYPES IIA AND IIB),2001
2501,I-129,TREATMENT OF ALCOHOL DEPENDENCE,2001
2502,I-130,MAINTENANCE OF HEALING OF EROSIVE ESOPHAGITIS,2001
2503,I-131,PERIPHERAL ARTERIOGRAPHY,2001
2504,I-132,TREATMENT OF MANIC PHASE OF BIPOLAR DISORDER,2001
2505,I-133,MANAGEMENT OF CHRONIC STABLE ANGINA,2001
2506,I-134,HEART FAILURE POST MYOCARDIAL INFARCTION,2001
2507,I-135,BONE METASTASES ASSOCIATED WITH MULTIPLE MYELOMA,2001
2508,I-136,IDIOPATHIC CHRONIC URTICARIA,2001
2509,I-137,"PREVENTION OF MEAL-INDUCED HEARTBURN, ACID INDIGESTION, AND SOUR STOMACH WHEN TAKEN 30 MINUTES PRIOR TO CONSUMING FOOD OR BEVERAGES",2001
2510,I-138,TREATMENT OF ACUTE RECURRENT GENITAL HERPES,2001
2511,I-139,PALLIATIVE TREATMENT OF ADVANCED BREAST CANCER IN PRE- AND PERIMENOPAUSAL WOMEN,2001
2512,I-140,PREVENTION OF CYTOMEGALOVIRUS (CMV) DISEASE IN INDIVIDUALS WITH HIV INFECTION AT RISK FOR DEVELOPING CMVDISEASE,2001
2513,I-141,TREATMENT OF HEMODYNAMICALLY STABLE PATIENTS WITHIN 24 HOURS OF ACUTE MYOCARDIAL INFARCTION TO IMPROVE SURVIVAL,2001
2514,I-142,LOCALIZE MYOCARDIAL ISCHEMIA (REVERSIBLE DEFECT) AND INFARCTION (NON-REVERSIBLE DEFECTS) IN EVALUATING MYOCARDIAL FUNCTION,2001
2515,I-143,EPISODIC TREATMENT OF RECURRENT GENITAL HERPES IN IMMUNOCOMPETENT ADULTS,2001
2516,I-144,ENHANCEMENT OF MRI OF THE ADULT BODY INTERNAL ORGANS,2001
2517,I-145,O.IMMOL/KG AS A SINGLE INTRAVENOUS BOLUS FOR MRI OF THE CNS IN CHILDREN,2001
2518,I-146,CONTRAST ENHANCEMENT AND FACILITATION OF VISUALIZATION OF EXTRACRANIAL HEAD AND NECK LESIONS,2001
2519,I-147,PREVENTION OF GALLSTONE FORMATION IN OBESE PATIENTS EXPERIENCING RAPID WEIGHT LOSS,2001
2520,I-148,TREATMENT OF ACUTE PNEUMOCYSTIC CARINII PNEUMONIA (PCP) IN HIV-INFECTED PATIENTS WHOSE ALVEOLAR-ARTERIAL OXYGEN DIFFERENCE (AADO2) IS LESS THAN OR EQUAL TO 55 TORR,2001
2521,I-149,TREATMENT OF PATIENTS WITH NON-SMALL CELL LUNG CANCER,2001
2522,I-150,TREATMENT OF OBSESSIVE COMPULSIVE DISORDER AND PANIC DISORDER,2001
2523,I-151,PREVENTION OF AND PREVENTION OF FURTHER POSTOPERATIVE NAUSEA AND VOMITING IN PEDIATRIC PATIENTS RECEIVING GENERAL ANESTHESIA,2001
2524,I-152,SLOWING THE PROGRESSION OF CORONARY ATHEROSCLEROSIS AND REDUCING THE RISK OF ACUTE CORONARY EVENTS,2001
2525,I-153,MANAGEMENT OF SEVERE SPASTICITY [ENCOMPASSES SPINAL AND CEREBRAL ORIGIN],2001
2526,I-154,PATIENT POPULATION ALTERED TO INCLUDE PEDIATRIC USE,2001
2527,I-155,TREATMENT OF ONCHOMYCOSIS DUE TO DERMATOPHYTES (TINEA UNGUIUM) OF THE TOENAIL WITH OR WITHOUT FINGERNAIL INVOLVEMENT,2001
2528,I-156,ADDITIONAL DATA REGARDING THE SAFE USE OF NORVASC IN PATIENTS WITH HEART FAILURE,2001
2529,I-157,TREATMENT OF ACUTE UNCOMPLICATED CYSTITIS IN FEMALES,2001
2530,I-158,TREATMENT OF OSTEOLYTIC BONE METASTASES OF BREAST CANCER,2001
2531,I-159,"FOR HYPERCHOLESTEROLEMIC PATI ENTS WITHOUT CLINICALLY EVIDENT HEART DISEASE REDUCE THE RISK OF MYOCARDIAL INFARCTION, REVASCULARIZATION, AND DEATH DUE TO CARDIOVASCULAR CAUSES WITH NO INCREASE IN DEATH FROM NON-CARDIOVASCULAR CAUSES",2001
2532,I-160,TREATMENT OF BACTERIAL CORNEAL ULCERS,2001
2533,I-161,TREATMENT OF ADULT-ONSET OR CHILDHOOD-ONSET ADULT GROWTH HORMONE DEFICIENCY,2001
2534,I-162,FOR USE IN PATIENTS 6-11 YEARS OF AGE,2001
2535,I-163,TREATMENT OF PHOTOPHOBIA,2001
2536,I-164,CHRONIC BACTERIAL PROSTATITIS,2001
2537,I-165,"MANAGEMENT OF ADULTS WITH ACTIVE, CLASSIC AND DEFINITIVE RHEUMATOID ARTHRITIS WHO HAVE HAD AN INSUFFICIENT THERAPEUTIC RESPONSE TO OR ARE INTOLERANT OF AN ADEQUATE TRIAL OF FULL DOSES OF ONE OR MORE NON-STEROIDAL ANTI-INFLAMMATORY DRUGS",2001
2538,I-166,TREATMENT OF BULIMIA,2001
2539,I-167,COMPLICATED INTRA-ABDOMINAL INFECTIONS (USED IN COMBINATION WITH METRONIDAZOLE) CAUSED BY MIXED AEROBIC/ANAEROBIC PATHOGENS,2001
2540,I-168,MANAGEMENT OF LOCALLY CONFINED STAGE B2-C METASTATIC CARCINOMA OF THE PROSTATE (IN COMBINATION WITH LHRH AGONISTS),2001
2541,I-169,USE IN COMBINATION WITH CORTICOSTEROIDS AS INITIAL CHEMOTHERAPY FOR THE TREATMENT OF PATIENTS WITH PAIN RELATED TO ADVANCED HORMONE-REFRACTORY PROSTATE CANCER,2001
2542,I-170,PROPHYLACTIC USE DURING HEAD LICE EPIDEMICS,2001
2543,I-171,RELIEF OF SYMPTOMS OF THE COMMON COLD,2001
2544,I-172,TREATMENT OF INITIAL EPISODE OF GENITAL HERPES,2001
2545,I-173,PREOPERATIVELY FOR THE PREVENTION OF INFECTION IN TRANSRECTAL PROSTATE BIOPSY,2001
2546,I-174,PELVIC INFLAMMATORY DISEASE,2001
2547,I-175,TREATMENT OF TINEA CORPORIS AND TINEA CRURIS,2001
2548,I-176,TREATMENT OF POSTOPERATIVE INFLAMMATION IN PATIENTS WHO HAVE UNDERGONE CATARACT EXTRACTION,2001
2549,I-177,"TREATMENT OF MODERATE ACNE VULGARIS IN FEMALES, GREATER OR EQUAL TO 15 YEARS OF AGE, WHO HAVE NO KNOWN CONTRAINDICATIONS TO ORAL CONTRACEPTIVE THERAPY, DESIRE CONTRACEPTION, HAVE ACHIEVED MENARCHE AND ARE UNRESPONSIVE TO TOPICAL ANTI-ACNE MEDICATIONS",2001
2550,I-178,TREATMENT OF ONCHOMYCOSIS OF THE FINGERNAIL WITHOUT CONCOMITANT ONCHOMYCOSIS OF THE TOENAIL WITH A PULSE DOSING REGIMEN,2001
