,use_code,use_code_desc,edition
1414,U-186,METHOD FOR TREATING GI DISORDERS CAUSED BY H. PYLORI WHICH COMPRISES ADMINISTRATION OF RANITIDINE BISMUTH CITRATE AND CLARITHROMYCIN FOR A GREATER THAN ADDITIVE EFFECT,2000
1415,U-187,THERAPEUTIC TREATMENT OF CALCIFIC TUMORS,2000
1416,U-188,TREATMENT OF H. PYLORI ASSOCIATED DUODENAL ULCER,2000
1417,U-189,ENHANCEMENT OF THE BIOAVAILABILITY OF THE DRUG SUBSTANCE,2000
1418,U-190,USE OF RITONAVIR IN COMBINATION WITH ANY REVERSE TRANSCRIPTASE INHIBITOR,2000
1419,U-191,METHOD OF TREATMENT FOR CONTROLLING AND LOWERING INTRAOCULAR PRESSURE IN A HUMAN,2000
1420,U-192,USE IN TREATING ALLERGIC REACTIONS,2000
1421,U-193,PSORIASIS,2000
1422,U-194,TREATING AGINA PECTORIS AND HIGH BLOOD PRESSURE,2000
1423,U-195,METHOD FOR THE DIAGNOSIS OF GASTROINTESTINAL DISORDERS BY UREA ISOTOAC OR NITROGEN LABELED CARBON,2000
1424,U-196,TREATMENT OF METASTIC BREAST CANCER IN POSTMENOPAUSAL WOMEN WITH ESTROGEN RECEPTOR POSITIVE TUMORS,2000
1425,U-197,USE IN COMBINATION WITH CERTAIN LHRH ANALOGUES FOR THE TREATMENT OF ADVANCED PROSTATE CANCER,2000
1426,U-198,"TREATMENT METASTATIC CARCINOMA OF OVARY AFTER FIRST-LINE FAILURE OR SUBSEQUENT CHEMOTHERAPY, TREATMENT OF BREAST CANCER AFTER FAILURE OF COMBINATION CHEMOTHERAPY FOR METASTATIC DISEASE AND SECOND-LINE TREATMENT OF AIDS-RELATED KAPOSI’S SARCOMA",2000
1427,U-199,METHOD OF TREATING INFECTIOUS UPPER GL TRACT DISORDERS CAUSED BY CAMPYLOBACTER PYLORDIS INFECTION COMPRISING ADMINISTRATION OF A BISMUTH AGENT AND AN ANTIMICROBIAL AGENT,2000
1428,U-200,METHOD OF TREATING GI DISORDERS COMPRISING ADMINISTRATION OF A BISMUTH-CONTAINING AGENT AND H2 RECEPTOR BLOCKING ANTI-SECRETORY AGENT,2000
1429,U-201,METHOD OF TREATING GL DISORDERS COMPRISING ADMINISTRATION OF CAMPYLOBACTER-INHIBITING ANTIMICROBIAL AGENT AND H2 RECEPTOR BLOCKING ANTI-SECRETORY AGENT,2000
1430,U-202,"METHOD OF TREATING PEPTIC ULCER DISEASE CAUSED BY CAMPYLOBACTER PYLORIDIS COMPRISING ORAL ADMINISTRATION OF 50 TO 5,000MG BISMUTH DAILY FOR 3-56 DAYS",2000
1431,U-203,TREATMENT OF ADVANCED BREAST CANCER IN POSTMENOPAUSAL WOMEN WITH DISEASE PROGRESSION FOLLOWING ANTIESTROGEN THERAPY,2000
1432,U-204,USE OF TAXOL IN COMBINATION WITH G-CSF FOR TREATMENT OF PATIENTS WITH AIDS-RELATED KAPOSI’S SARCOMA,2000
1433,U-205,METHOD FOR TREATING HEARTBURN,2000
1434,U-206,"METHOD OF USING FSH ALONE, WITHOUT THE PRESENCE OF EXOGENOUS LH, IN IN VITRO FERTILIZATION",2000
1435,U-207,USE AS NASAL SPRAY,2000
1436,U-208,VAGINAL ADMINISTRATION USING SPECIFIED FORMULATION,2000
1437,U-209,VAGINAL ADMINISTRATION OF PROGESTERONE USING SPECIFIED FORMULATION,2000
1438,U-210,METHOD OF TREATING CONGESTIVE HEART FAILURE,2000
1439,U-211,USE IN PATIENTS WITH REVERSIBLE AIRWAY OBSTRUCTION,2000
1440,U-212,METHOD OF TREATMENT OF PARKINSON’S DISEASE,2000
1441,U-213,METHOD OF INHIBITING CHOLESTEROL BIOSYNTHESIS AND TREATING HYPERCHOLESTEROLEMIA AND METHOD FOR TREATING HYPERLIPIDEMIA,2000
1442,U-214,USE AS A BLOOD GLUCOSE-LOWERING AGENT,2000
1443,U-215,TREATMENT OF EPILEPSY TWICE DAILY. TREATING A PATIENT BY ADMINISTERING CARBAMAZEPINE IN A DOSAGE FORM CAPABLE OF MAINTAINING BLOOD CONCENTRATION FROM 4-12MCG/ML OVER 12 HOURS,2000
1444,U-216,"TREATMENT OF ADENOCARCINOMA, INCLUDING STAGE B2-C, BY ADMINISTERING AN AGONIST OF LR-RH AND FLUTAMIDE",2000
1445,U-217,METHOD OF PRODUCING ANESTHESIA,2000
1446,U-218,METHOD FOR LIMITING THE POTENTIAL FOR MICROBIAL GROWTH IN THE DRUG PRODUCT,2000
1447,U-219,TREATMENT OF PARKISON’S DISEASE,2000
1448,U-220,METHOD OF DIAGNOSIS,2000
1449,U-221,SELECTIVE VASODILATION BY CONTINUOUS ADENOSINE INFUSION,2000
1450,U-222,METHOD OF TREATING PAGET’S DISEASE USING ACTONEL,2000
1451,U-223,TREATMENT OF BACTERIAL CONJUNCTIVITIS CAUSED BY SUSCEPTIBLE STRAINS OF MICROORGANISMS,2000
1452,U-224,CONTROLLING INTRAOCULAR PRESSURE,2000
1453,U-225,METHOD FOR DELIVERY,2000
1454,U-226,METHOD OF ENHANCING THE DISSOLUTION PROFILE OF A PHARMACEUTICAL FROM A SOLID DOSAGE FORM CONTAINING THE PHARMACEUTICAL AND SIMETHICONE,2000
1455,U-227,NASAL ADMINISTRATION,2000
1456,U-228,ASTHMA,2000
1457,U-229,CARDIAC INSUFFICIENCY (CONGESTIVE HEART FAILURE),2000
1458,U-230,PREVENTION OF ACUTE CARDIAC ISCHEMIC EVENTS,2000
1459,U-231,USE IN PARKINSON’S DISEASE,2000
1460,U-232,METHOD OF TREATING MIGRAINE,2000
1461,U-233,DECREASING MORTALITY CAUSED BY CONGESTIVE HEART FAILURE,2000
1462,U-234,METHOD OF USING RIBAVIRIN TO TREAT VIRAL INFECTIONS IN MAMMALS,2000
1463,U-235,METHOD OF MODULATING TH1 AND TH2 RESPONSE IN ACTIVATED T CELLS OF A HUMAN COMPRISING ADMINISTERING RIBAVIRIN TO THE T CELLS IN A DOSAGE WHICH PROMOTES THE TH1 RESPONSE AND SUPPRESSES THE TH2 RESPONSE,2000
1464,U-236,TREATING MALE PATTERN BALDNESS WITH 0.05 TO 3 MG/DAY,2000
1465,U-237,METHOD OF PERFORMING NMR IMAGING WITH A PATIENT COMPRISING ADMINISTERING TO THE PATIENT AN EFFECTIVE AMOUNT OF CONTRAST AGENT DISCLOSED IN THE CLAIMS,2000
1466,U-238,"IMAGING A BODY TISSUE AND SUBJECTING TO NMR TOMOGRAPHY, ADMINISTERING AN AMOUNT OF PHARMACEUTICAL AGENT FOR AFFECTING THE RELAXATION TIMES OF ATOMS IN BODY TISSUES UNDERGOING NMR DIAGNOSIS, WHEREBY THE IMAGE CONTRAST IN ENHANCED....",2000
1467,U-239,"TREATING OR CONTROLLING OCULAR INFLAMMATION WHICH COMPRISES TOPICALLY ADMINISTERING TO THE AFFECTED EYE A COMPOSITION COMPRISING AN NSAID, A POLYMERIC QUATERNARY AMMONIUM COMPOUND AND BORIC ACID",2000
1468,U-240,TREATMENT OF ACUTE MIGRAINE ATTACKS,2000
1469,U-241,"FOR SHORT-TERM TREATMENT ACTIVE DUODENAL ULCER, MAINTENANCE THERAPY FOR DUODENAL ULCER PATIENTS AT REDUCED DOSAGE AFTER HEALING OF ACTIVE ULCER, SHORTTERM TREATMENT ACTIVE BENIGN GASTRIC ULCER & GERD, PATHOLOGICAL HYPERSECRETORY CONDITIONS",2000
1470,U-242,USE OF FOLLITROPIN ALPHA ALONE IN IN-VITRO FERTILIZATION,2000
1471,U-243,TOPICAL ADMINISTRATION,2000
1472,U-244,PLATELET AGGREGATION INHIBITORS,2000
1473,U-245,TREATMENT OF SEBORRHEA DERMATITIS IN HUMANS,2000
1474,U-246,PHOSPHATE BINDING,2000
1475,U-247,TREATMENT OF RHEUMATOID ARTHRITIS,2000
1476,U-248,TREATMENT OF HIV,2000
1477,U-249,METHOD OF TREATING ALLERGIC OR NON-ALLERGIC RHINITIS IN PATIENTS BY ADMINISTERING AEROSOLIZED PARTICLES OF MOMETASONE FLLROATE,2000
1478,U-250,TREATMENT OF HEPATITIS B INFECTION,2000
1479,U-251,USE OF TROGLITAZONE IN COMBINATION WITH SULFONYLUREAS IN THE TREATMENT OF TYPE II DIABETES,2000
1480,U-252,METHOD OF TREATING A HUMAN SUBJECT HAVING GAUCHER’S DISEASE,2000
1481,U-253,ORAL TRANSMUCOSAL USE,2000
1482,U-254,USE OF AGGRASTAT IN COMBINATION WITH HEPARIN,2000
1483,U-255,IMPROVED WAKEFULNESS IN PATIENTS WITH EXCESSIVE DAYTIME SLEEPINESS ASSOCIATED WITH NARCOLEPSY,2000
1484,U-256,TREATMENT OF HIV INFECITON IN COMBINATION WITH ONE OR MORE ADDITIONAL HIV ANTIVIRAL AGENTS,2000
1485,U-257,TREATMENT OF HIV INFECTION,2000
1486,U-258,TREATMENT OF NEURODEGENERATIVE DISEASES,2000
1487,U-259,TREATMENT OF ANDROGENIC ALOPECIA BY ORAL ADMINISTRATION OF DRUG SUBSTANCE,2000
1488,U-260,REDUCTION OF INTRAOCULAR PRESSURE IN PATIENTS WITH OPEN ANGLE GLAUCOMA AND OCULAR HYPERTENSION WHO ARE INTOLERANT OF OTHER IOP LOWERING MEDICATIONS OR INSUFFICIENTLY RESPONSIVE TO ANOTHER IOP LOWERING MEDICATION,2000
1489,U-261,"TREATING BENIGN PROSTATIC HYPERPLASIA WITH A GENUS OF COMPOUNDS, INCLUDING FINASTERIDE",2000
1490,U-262,TREATING BENIGN PROSTATIC HYPERTROPHY WITH FINASTERIDE,2000
1491,U-263,METHOD OF TREATING A MALIGNANT CONDITION THROUGH INTRAVASCULAR ADMINISTRATION OF BUSULFAN. METHOD FOR TREATING LEUKEMIA OR LYMPHOMA IN A PATIENT UNDERGOING A BONE MARROW TRANSPLANT THROUGH INTRAVENOUS ADMINISTRATION OF BUSULFAN.,2000
1492,U-264,METHOD OF TREATING A MALIGNANT DISEASE THROUGH PARENTERAL ADMINISTRATION OF BUSULFAN. METHOD FOR TREATING A PATIENT UNDERGOING A BONE MARROW TRANSPLANT THROUGH INTRAVASCULAR ADMINISTRATION OF BUSULFAN.,2000
1493,U-265,USE AS A LAXATIVE,2000
1494,U-266,OSTEOARTHRITIS,2000
1495,U-267,METHOD FOR PREVENTING HEARTBURN,2000
1496,U-268,ACROMEGALY,2000
1497,U-269,EXCESS GH-SECRETION OR GASTRO-INTESTINAL DISORDERS,2000
1498,U-270,METHOD FOR IMPROVING THE TIME FOR ADMINISTRATION OR THE TIME BETWEEN CHANGES OF GIVING SETS FOR THE DRUG PRODUCT,2000
1499,U-271,METHOD OF TREATING TUMORS,2000
1500,U-272,METHOD OF TREATING CARCINOMA,2000
1501,U-273,CUTANEOUS T-CELL LYMPHOMA,2000
1502,U-274,ZANAMIVIR FOR INHALATION,2000
1503,U-275,METHOD OF USE OF THE DRUG SUBSTANCE,2000
1504,U-276,METHOD OF USE OF LEVOBUPIVACAINE,2000
1505,U-277,"NEUROLOGICAL AND OTHER DISORDERS (TREATMENT OF EPILEPSY, BID ORAL DOSING)",2000
1506,U-278,METHOD OF USE OF THE INDICATION OF THE DRUG PRODUCT,2000
1507,U-279,METHOD OF USE OF THE APPROVED PRODUCT,2000
1508,U-280,TREATING PRECIPITATED ACUTE URINARY RETENTION WITH FINASTERIDE,2000
1509,U-281,"ANTIMYCOTIC USES, SPECIFICALLY, TREATMENT OF ONYCHOMYCOSIS",2000
1510,U-282,METHOD OF TREATING BACTERIAL INFECTIONS,2000
1511,U-283,METHOD FOR TREATING MENOPAUSAL SYMPTOMS IN A POSTMENOPAUSAL FEMALE,2000
1512,U-284,"MENOPAUSAL AND POSTMENOPAUSAL DISORDERS (INCLUDING VASOMOTOR SYMPTOMS ASSOCIATED WITH MENOPAUSE, AND VULVAR AND VAGINAL ATROPHY) AND OSTEOPOROSIS",2000
1513,U-285,DEPRESSION AND SOCIAL ANXIETY DISORDER/SOCIAL PHOBIA,2000
1514,U-286,DEPRESSION,2000
1515,U-287,TREATMENT OR PREVENTION OF OSTEOPOROSIS,2000
1516,U-288,THERAPY OF INFLUENZA,2000
1517,U-289,TREATMENT OF NON-HYPERKERATOTIC ACTINIC KERATOSES OF FACE AND SCALP,2000
1518,U-290,INHIBITING TRANSPLANT REJECTION USING RAPAMYCIN (SIROLIMUS),2000
1519,U-291,INHIBITING TRANSPLANT REJECTION USING RAPAMYCIN (SIROLIMUS) IN COMBINATION WITH CYCLOSPORIN,2000
1520,U-292,INHIBITING TRANSPLANT REJECTION USING RAPAMYCIN (SIROLIMUS) IN COMBINATION WITH AZATHIOPRINE,2000
1521,U-293,INHIBITING TRANSPLANT REJECTION USING RAPAMYCIN (SIROLIMUS) IN COMBINATION WITH A CORTICOSTEROID,2000
1522,U-294,TREATMENT OF HYPERPIGMENTARY DISORDERS,2000
1523,U-295,TREATMENT OF SEASONAL AND PERENNIAL ALLERGIC RHINITIS SYMPTOMS,2000
1524,U-296,"TREATING MIGRAINE PAIN AND ONE OR MORE OF A CLUSTER OF SYMPTOMS CHARACTERISTIC OF A MIGRAINE ATTACK SYMPTOMS BEING SELECTED FROM PHOTOPHOBIA, PHONOPHOBIA, NAUSEA AND FUNCTIONAL DISABILITY",2000
1525,U-297,PREVENTION OR TREATMENT OF REVERSIBLE VASOCONSTRICTION BY THE INHALATION OF NITRIC OXIDE WITH AN OXYGEN CONTAINING GAS,2000
1526,U-298,METHOD OF COMBATING BACTERIA IN A PATIENT,2000
1527,U-299,TREATMENT OF ADENOMATOUS POLYPS,2000
1528,U-300,INDICATED FOR THE REDUCTION OF ELEVATED TOTAL AND LDL CHOLESTEROL LEVELS IN PATIENTS WITH PRIMARY HYPERCHOLESTEROLEMIA,2000
1529,U-301,USE OF TROGLITAZONE IN COMBINATION WITH SULFONYLUREAS AND BIGUANIDES IN THE TREATMENT OF TYPE II DIABETES,2000
1530,U-302,TO REDUCE THE RISK OF STROKE IN PATIENTS WHO HAVE HAD TRANSIENT ISCHEMIA OF THE BRAIN OR COMPLETED ISCHEMIC STROKE DUE TO THROMBOSIS,2000
1531,U-303,"METHOD OF USE PATENT-PRODUCT APPROVED FOR TREATMENT OF OSTEOPORISIS, PAGET’S DISEASE, PREVENTION AND TREATMENT OF GLUCOCORTICOID-INDUCED OSTEOPOROSIS",2000
1532,U-304,A METHOD OF TREATMENT OF A CONDITION INVOLVING AN ANTIBODY ANTIGEN REACTION,2000
1533,U-305,METHODS FOR USING THE DRUG PRODUCT,2000
1534,U-306,TREATMENT OF POST-MENOPAUSAL UROGENITAL SYMPTOMS ASSOCIATED WITH ESTROGEN DEFICIENCY,2000
1535,U-307,"CLAIMS AN OLANZAPINE POLYMORPH USEFUL FOR TREATING ANY NUMBER OF LISTED CONDITIONS, INCLUDING SPECIFIC PSYCHOSES, EMPLOYING OLANZAPINE AS PER THE INDICATION OF THIS NDA",2000
1536,U-308,"CLAIMS A SOLID ORAL FORMULATION INCLUDING TABLETS AND GRANULES OF OLANZAPINE USEFUL FOR TREATING ANY NUMBER OF LISTED CONDITIONS, INCLUDING SPECIFIC PSYCHOSES, EMPLOYING OLANZAPINE AS PER THE INDICATION OF THIS NDA",2000
1537,U,"PATENT USE CODE (SEE REFERENCES, BELOW)",2001
1538,U-1,PREVENTION OF PREGNANCY,2001
1539,U-2,TREATMENT OR PROPHYLAXIS OF ANGINA PECTORIS AND ARRHYTHMIA,2001
1540,U-3,TREATMENT OF HYPERTENSION,2001
1541,U-4,PROVIDING PREVENTION AND TREATMENT OF EMESIS AND NAUSEA IN MAMMALS,2001
1542,U-5,METHOD OF PRODUCING BRONCHODILATION,2001
1543,U-6,METHOD OF PRODUCING SYMPATHOMIMETIC EFFECTS,2001
1544,U-7,INCREASING CARDIAC CONTRACTILITY,2001
1545,U-8,ACUTE MYOCARDIAL INFARCTION,2001
1546,U-9,CONTROL OF EMESIS ASSOCIATED WITH ANY CANCER CHEMOTHERAPY AGENT,2001
1547,U-10,DIAGNOSTIC METHOD FOR DISTINGUISHING BETWEEN HYPOTHALAMIC MALFUNCTIONS OR LESIONS IN HUMANS,2001
1548,U-11,TREATMENT OR PROPHYLAXIS OF CARDIAC DISORDERS,2001
1549,U-12,METHOD OF TREATING [A] HUMAN SUFFERING FROM DEPRESSION,2001
1550,U-13,A METHOD FOR TREATING ANXIETY IN A HUMAN SUBJECT IN NEED OF SUCH TREATMENT,2001
1551,U-14,ADJUNCTIVE THERAPY FOR THE PREVENTION AND TREATMENT OF HYPERAMMONEMIA IN THE CHRONIC MANAGEMENT OF PATIENTS WITH UREA CYCLE ENZYMOPATHIES,2001
1552,U-15,METHOD OF LOWERING INTRAOCULAR PRESSURE,2001
1553,U-16,USE IN LUNG SCANNING PROCEDURES,2001
1554,U-17,TREATMENT OF VENTRICULAR AND SUPRAVENTRICULAR ARRHYTHMIAS,2001
1555,U-18,METHOD FOR INHIBITING GASTRIC SECRETION IN MAMMALS,2001
1556,U-19,TREATMENT OF INFLAMMATION,2001
1557,U-20,A PROCESS FOR TREATING A PATIENT SUFFERING FROM PARKINSON’S SYNDROME AND IN NEED OF TREATMENT,2001
1558,U-21,TREATMENT OF HUMANS SUFFERING UNDESIRED UROTOXIC SIDE EFFECTS CAUSED BY CYTOSTATICALLY ACTIVE ALKYLATING AGENTS,2001
1559,U-22,"METHOD OF COMBATTING PATHOLOGICALLY REDUCED CEREBRAL FUNCTIONS AND PERFORMANCE WEAKNESSES, CEREBRAL INSUFFICIENCY AND DISORDERS IN CEREBRAL CIRCULATION AND METABOLISM IN WARM-BLOODED ANIMALS",2001
1560,U-23,METHOD FOR TREATING PROSTATIC CARCINOMA COMPRISING ADMINISTERING FLUTAMIDE,2001
1561,U-24,METHOD FOR TREATING PROSTATE ADENOCARCINOMA COMPRISING ADMINISTERING AN ANTIANDROGEN INCLUDING FLUTAMIDE AND AN LHRH AGONIST,2001
1562,U-25,REDUCING CHOLESTEROL IN CHOLELITHIASIS PATIENTS,2001
1563,U-26,REDUCING CHOLESTEROL GALLSTONES AND/OR FRAGMENTS THEREOF,2001
1564,U-27,DISSOLVING CHOLESTEROL GALLSTONES AND/OR FRAGMENTS THEREOF,2001
1565,U-28,"CEREBRAL, CORONARY, PERIPHERAL, VISCERAL AND RENAL ARTERIOGRAPHY, AORTOGRAPHY AND LEFT VENTRICULOGRAPHY",2001
1566,U-29,"CT IMAGING OF THE HEAD AND BODY, AND INTRAVENOUS EXCRETORY UROGRAPHY",2001
1567,U-30,"CEREBRAL ANGIOGRAPHY, AND VENOGRAPHY",2001
1568,U-31,INTRA-ARTERIAL DIGITAL SUBTRACTION ANGIOGRAPHY,2001
1569,U-32,"PALLIATIVE TREATMENT OF PATIENTS WITH OVARIAN CARCINOMA RECURRENT AFTER PRIOR CHEMOTHERAPY, INCLUDING PATIENTS WHO HAVE BEEN PREVIOUSLY TREATED WITH CISPLATIN",2001
1570,U-33,TREATING VIRAL INFECTIONS IN A MAMMAL,2001
1571,U-34,TREATING VIRAL INFECTIONS IN A WARM-BLOODED ANIMAL,2001
1572,U-35,TREATING CYTOMEGALOVIRUS IN A HUMAN WITH AN INJECTABLE COMPOSITION,2001
1573,U-36,METHODS OF TREATING BACTERIAL ILLNESSES,2001
1574,U-37,METHOD OF TREATING GASTROINTESTINAL DISEASE,2001
1575,U-38,TREATMENT OF PAROXYSMAL SUPRAVENTRICULAR TACHYCARDIA,2001
1576,U-39,ANGINA PECTORIS,2001
1577,U-40,METHOD OF TREATMENT OF BURNS,2001
1578,U-41,METHOD OF TREATING CARDIAC ARRHYTHMIAS,2001
1579,U-42,ADJUVANT TREATMENT IN COMBINATION WITH FLUOROURACIL AFTER SURGICAL RESECTION IN PATIENTS WITH DUKES' STAGE C COLON CANCER,2001
1580,U-43,MANAGEMENT OF CHRONIC PAIN IN PATIENTS REQUIRING OPIOID ANALGESIA,2001
1581,U-44,RELIEF OF NAUSEA AND VOMITING,2001
1582,U-45,TREATMENT OF INFLAMMATION AND ANALGESIA,2001
1583,U-46,TREATMENT OF PANIC DISORDER,2001
1584,U-47,STIMULATION OF THE RELEASE OF GROWTH HORMONE,2001
1585,U-48,ANALGESIA,2001
1586,U-49,SYMPTOMATIC CANCER-RELATED HYPERCALCEMIA,2001
1587,U-50,USE IN TREATING INFLAMMATORY DERMATOSES,2001
1588,U-51,"BLOOD POOL IMAGING, INCLUDING CARDIAC FIRST PASS AND GATED EQUILIBRIUM IMAGING AND FOR DETECTION OF SITES OF GASTROINTESTINAL BLEEDING",2001
1589,U-52,TREATMENT OF ADULT AND PEDIATRIC PATIENTS (OVER SIX MONTHS OF AGE) WITH ADVANCED HIV INFECTION,2001
1590,U-53,HYPERCALCEMIA OF MALIGNANCY,2001
1591,U-54,REVERSAL AGENT OR ANTAGONIST OF NONDEPOLARIZING NEUROMUSCULAR BLOCKING AGENTS,2001
1592,U-55,TREATMENT OF PAIN,2001
1593,U-56,AID TO SMOKING CESSATION,2001
1594,U-57,OPHTHALMIC USE OF NORFLOXACIN,2001
1595,U-58,METHOD OF TREATING INFLAMMATORY INTESTINAL DISEASES,2001
1596,U-59,METHOD OF TREATING HYPERCHOLESTEROLEMIA,2001
1597,U-60,NASAL ADMINISTRATION OF BUTORPHANOL,2001
1598,U-61,CEREBRAL AND PERIPHERAL ARTERIOGRAPHY AND CT IMAGING OF THE HEAD,2001
1599,U-62,"CORONARY ARTERIOGRAPHY, LEFT VENTRICULOGRAPHY, CT IMAGING OF THE BODY, INTRAVENOUS EXCRETORY UROGRAPHY, INTRAVENOUS DIGITAL SUBTRACTION ANGIOGRAPHY AND VENOGRAPHY",2001
1600,U-63,ISOPRENALINE ANTAGONISM ON THE HEART RATE OR BLOOD PRESSURE,2001
1601,U-64,TREATMENT OF VIRAL INFECTIONS,2001
1602,U-65,METHOD OF TREATMENT OF A PATIENT INFECTED WITH HIV,2001
1603,U-66,TRIPHASIC REGIMEN,2001
1604,U-67,METHOD OF INDUCING ANESTHESIA IN A WARM BLOODED ANIMAL,2001
1605,U-68,TREATMENT OF ACTINIC KERATOSIS,2001
1606,U-69,TREATMENT OF PNEUMOCYSTIS CARINII INFECTIONS,2001
1607,U-70,TREATMENT OF TRANSIENT INSOMNIA,2001
1608,U-71,METHOD OF TREATMENT OF HEART FAILURE,2001
1609,U-72,TREATMENT OF MIGRAINES,2001
1610,U-73,METHOD OF TREATING DISEASES OR INFECTIONS CAUSED BY MYCETES,2001
1611,U-74,METHOD OF PROVIDING HYPNOTIC EFFECT,2001
1612,U-75,RELIEF OF OCULAR ITCHING DUE TO SEASONAL ALLERGIC CONJUNCTIVITIS,2001
1613,U-76,USE TO IMAGE A SUBJECT WITH A MAGNETIC RESONANCE IMAGING SYSTEM,2001
1614,U-77,TREATMENT OF SYMPTOMS OF SEASONAL ALLERGIC RHINITIS,2001
1615,U-78,ULCERATIVE COLITIS,2001
1616,U-79,SYMPTOMATIC TREATMENT OF PATIENTS WITH NOCTURNAL HEARTBURN DUE TO GERD,2001
1617,U-80,METHOD OF TREATING OCULAR BACTERIAL INFECTIONS,2001
1618,U-81,RELIEF OF SYMPTOMS ASSOCIATED WITH SEASONAL ALLERGIC RHINITIS,2001
1619,U-82,TREATMENT FOR DEMENTIA IN PATIENTS WITH ALZHEIMER'S DISEASE,2001
1620,U-83,TREATMENT OF SEIZURES,2001
1621,U-84,A METHOD OF BLOCKING THE UPTAKE OF MONOAMINES BY BRAIN NEURONS IN ANIMALS,2001
1622,U-85,NASAL TREATMENT OF SEASONAL AND PERENNIAL ALLERGIC RHINITIS SYMPTOMS,2001
1623,U-86,METHOD OF TREATING CERTAIN FORMS OF EPILEPSY,2001
1624,U-87,"METHOD FOR NONINVASIVE ADMINISTRATION OF SEDATIVES, ANALGESICS, AND ANESTHETICS",2001
1625,U-88,TREATMENT OF MODERATE PLAQUE PSORIASIS,2001
1626,U-89,TREATMENT OR PROPHYLAXIS OF EMESIS,2001
1627,U-90,TREATMENT OF PSYCHOTIC DISORDERS,2001
1628,U-91,ALTERNATIVE THERAPY TO TRIMETHOPRIM-SULFAMETHOXAZOLE FOR TREATMENT OF MODERATE-TO-SEVERE PNEUMOCYSTIS CARINII PNEUMONIA IN IMMUNOCOMPROMISED AND AIDS PATIENTS,2001
1629,U-92,TREATMENT OF DIABETIC NEPHROPATHY IN PATIENTS WITH TYPE I INSULIN DEPENDENT DIABETES MELLITUS AND RETINOPATHY,2001
1630,U-93,USE AS AN ANTIHISTAMINE/DECONGESTANT,2001
1631,U-94,TREATMENT OF ADULTS WITH ADVANCED HIV INFECTION WHO ARE INTOLERANT OF APPROVED THERAPIES WITH PROVEN CLINICAL BENEFIT OR WHO HAVE EXPERIENCED SIGNIFICANT CLINICAL OR IMMUNOLOGIC DETERIORATION WHILE RECEIVING THESE THERAPIES OR FOR WHOM SUCH THERAPIES ARE CONTRAINDICATED,2001
1632,U-95,SHORT TERM MANAGEMENT OF MODERATE PRURITUS IN ADULTS WITH ATOPIC DERMATITIS AND LICHEN SIMPLEX CHRONICUS,2001
1633,U-96,METHOD OF TREATING VARICELLA ZOSTER (SHINGLES) INFECTIONS,2001
1634,U-97,A METHOD OF TREATING A PATIENT IN NEED OF MEMORY ENHANCEMENT,2001
1635,U-98,A METHOD OF INDUCING REGRESSION OF LEUKEMIA CELL GROWTH IN A MAMMAL,2001
1636,U-99,METHOD OF PROVIDING POTASSIUM TO A SUBJECT IN NEED OF POTASSIUM,2001
1637,U-100,METHOD OF TREATING OCULAR INFLAMMATION,2001
1638,U-101,ADJUNCT TO CONVENTIONAL CT OR MRI IMAGING IN THE LOCALIZATION OF STROKE IN PATIENTS IN WHOM STROKE HAS ALREADY BEEN DIAGNOSED,2001
1639,U-102,METHOD OF HORMONALLY TREATING MENOPAUSAL OR POST-MENOPAUSAL DISORDERS IN WOMEN,2001
1640,U-103,TREATMENT OF OCULAR HYPERTENSION,2001
1641,U-104,TREATMENT OF AQUEOUS HUMOR FORMATION AND INTRAOCULAR PRESSURE,2001
1642,U-105,EMESIS,2001
1643,U-106,TREATMENT OF EPILEPSY,2001
1644,U-107,TREATMENT OF HYPERTENSION AND ANGINA PECTORIS,2001
1645,U-108,"SHORT-TERM TREATMENT OF ACTIVE DUODENAL ULCER, GASTROESOPHAGEAL REFLUX DISEASE (GERD), SEVERE EROSIVE ESOPHAGITIS, POORLY RESPONSIVE SYMPTOMATIC GERD, PATHOLOGICAL HYPERSECRETORY CONDITIONS AND MAINTENANCE OF HEALING OF EROSIVE ESOPHAGITIS",2001
1646,U-109,USE AS AN ADJUNCT TO DIET IN THE TREATMENT OF ELEVATED TOTAL CHOLESTEROL AND LDL-C LEVELS IN PATIENTS WITH PRIMARY HYPERCHOLESTEROLEMIA WHOSE RESPONSE TO DIETARY RESTRICTION OF SATURATED FAT AND CHOLESTEROL AND OTHER NONPHARMACOLOGICAL MEASURES HAS NOT BEEN ADEQUATE,2001
1647,U-110,USE AS A RETRIEVABLE PESSARY,2001
1648,U-111,DIABETES,2001
1649,U-112,CONTRACEPTION,2001
1650,U-113,METHOD OF CONDUCTING A RADIOLOGICAL EXAMINATION OF A PATIENT BY ADMINISTERING TO SAID PATIENT A RADIOPAQUE AMOUNT OF IOPROMIDE,2001
1651,U-114,USE FOR INHIBITING BONE RESORPTION,2001
1652,U-115,"USE OF VASODILATORS TO EFFECT AND ENHANCE AN ERECTION (AND THUS TREAT ERECTILE DYSFUNCTION), BY INJECTION INTO THE PENIS",2001
1653,U-116,METHOD OF MYOCARDIAL IMAGING,2001
1654,U-117,TREATMENT OF OCULAR ALLERGIC RESPONSE IN HUMAN EYES,2001
1655,U-118,METHOD OF LOWERING BLOOD SUGAR LEVEL,2001
